Cep,Endereço,Lat,Lng
Nan,Nan,Nan,Nan
58400002,Rua Presidente João Pessoa - Centro - Campina Grande - PB,-7.2164509,-35.8896766
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
58400006,Praça Félix Araújo - Centro - Campina Grande - PB,-7.214983600000001,-35.8935252
Nan,Nan,Nan,Nan
58400008,Rua Quintino Bocaiúva - Centro - Campina Grande - PB,-7.2124544,-35.8925007
Nan,Nan,Nan,Nan
58400010,Rua Vileneuve Honório Maia - Centro - Campina Grande - PB,-7.216171,-35.89296849999999
Nan,Nan,Nan,Nan
58400012,Rua Antenor Navarro - Centro - Campina Grande - PB,-7.216993200000001,-35.8931342
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
58400016,Rua Luís Soares - Centro - Campina Grande - PB,-7.216596500000001,-35.8919777
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
58400020,Rua Siqueira Campos - Centro - Campina Grande - PB,-7.218737300000001,-35.8918839
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
58400025,Rua Presidente Epitácio Pessoa - Centro - Campina Grande - PB,-7.215120999999999,-35.8873523
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
58400028,Rua João da Silva Pimentel - Centro - Campina Grande - PB,-7.213628300000001,-35.8880902
Nan,Nan,Nan,Nan
58400030,Rua Índios Cariris - Centro - Campina Grande - PB,-7.2183218,-35.8894204
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
58400034,Rua Presidente João Pessoa - Centro - Campina Grande - PB,-7.2164509,-35.8896766
Nan,Nan,Nan,Nan
58400036,Rua João Suassuna - Centro - Campina Grande - PB,-7.215583800000001,-35.8892975
Nan,Nan,Nan,Nan
58400038,Rua Iremar Vilarim - Centro - Campina Grande - PB,-7.2155077,-35.8879058
Nan,Nan,Nan,Nan
58400040,Rua Professor Mauro Luna - Centro - Campina Grande - PB,-7.2131395,-35.8862197
Nan,Nan,Nan,Nan
58400042,Rua Raimundo Alves da Silva - Centro - Campina Grande - PB,-7.214653800000001,-35.8854551
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
58400048,Rua Padre Ibiapina - Centro - Campina Grande - PB,-7.216550499999999,-35.8872355
Nan,Nan,Nan,Nan
58400050,Rua Augusto Severo - Centro - Campina Grande - PB,-7.2181367,-35.8879362
Nan,Nan,Nan,Nan
58400052,Avenida Presidente Getúlio Vargas - Centro - Campina Grande - PB,-7.2183218,-35.8894204
Nan,Nan,Nan,Nan
58400054,Rua Expedicionário do Brasil - Centro - Campina Grande - PB,-7.219182,-35.888223
Nan,Nan,Nan,Nan
58400056,Rua Índios Cariris - Centro - Campina Grande - PB,-7.2183218,-35.8894204
Nan,Nan,Nan,Nan
58400058,Avenida Rio Branco - Centro - Campina Grande - PB,-7.218737300000001,-35.8918839
